"title","abstract"
"Veterinary research","Rift Valley fever virus (Phlebovirus, Bunyaviridae) is an arbovirus causing intermittent epizootics and sporadic epidemics primarily in East Africa. Infection causes severe and often fatal illness in young sheep, goats and cattle. Domestic animals and humans can be contaminated by close contact with infectious tissues or through mosquito infectious bites. Rift Valley fever virus was historically restricted to sub-Saharan countries. The probability of Rift Valley fever emerging in virgin areas is likely to be increasing. Its geographical range has extended over the past years. As a recent example, autochthonous cases of Rift Valley fever were recorded in 2007--2008 in Mayotte in the Indian Ocean. It has been proposed that a single infected animal that enters a naive country is sufficient to initiate a major outbreak before Rift Valley fever virus would ever be detected. Unless vaccines are available and widely used to limit its expansion, Rift Valley fever will continue to be a critical issue for human and animal health in the region of the Indian Ocean."
"Vaccine","The safety and immunogenicity of an authentic recombinant (ar) of the live, attenuated MP-12 Rift Valley fever (RVF) vaccine virus with a large deletion of the NSm gene in the pre-Gn region of the M RNA segment (arMP-12ΔNSm21/384) was tested in 4-6 month old Bos taurus calves. Phase I of this study evaluated the neutralizing antibody response, measured by 80% plaque reduction neutralization (PRNT80), and clinical response of calves to doses of 1×10(1) through 1×10(7) plaque forming units (PFU) administered subcutaneously (s.c.). Phase II evaluated the clinical and neutralizing antibody response of calves inoculated s.c. or intramuscularly (i.m.) with 1×10(3), 1×10(4) or 1×10(5)PFU of arMP-12ΔNSm21/384. No significant adverse clinical events were observed in the animals in these studies. Of all specimens tested, only one vaccine viral isolate was recovered and that virus retained the introduced deletion. In the Phase I study, there was no statistically significant difference in the PRNT80 response between the dosage groups though the difference in IgG response between the 1×10(1)PFU group and the 1×10(5)PFU group was statistically significant (p<0.05). The PRNT80 response of the respective dosage groups corresponded to dose of vaccine with the 1×10(1)PFU dose group showing the least response. The Phase II study also showed no statistically significant difference in PRNT80 response between the dosage groups though the difference in RVFV-specific IgG values was significantly increased (p<0.001) in animals inoculated i.m. with 1×10(4) or 1×10(5)PFU versus those inoculated s.c. with 1×10(3) or 1×10(5)PFU. Although the study groups were small, these data suggest that 1×10(4) or 1×10(5)PFU of arMP-12ΔNSm21/384 administered i.m. to calves will consistently stimulate a presumably protective PRNT80 response for at least 91 days post inoculation. Further studies of arMP-12ΔNSm21/384 are warranted to explore its suitability as an efficacious livestock vaccine.Copyright © 2013 Elsevier Ltd. All rights reserved."
"Veterinary microbiology","The Canary Islands contain the most important dromedary camel (Camelus dromedarius) population in the European Union and are the main export point of dromedaries to continental Europe and Latin America. We investigated the presence of antibodies against relevant disease agents in 100 Canarian camel sera. Selected blood samples of the same animals were also tested by PCR. Sera were tested for antibodies against Bluetongue virus (BTV; 0%), Bovine Viral Diarrhoea virus (BVDV; 0%), Camelpox virus (CPV; 8% by serum neutralization, 16% by ELISA), Peste des Petits Ruminants virus (PPRV, 0%), Rift Valley Fever virus (RVFV; 0%) and West Nile Fever virus (WNV; 3%), the bacterial pathogens Anaplasma sp. (3%), Brucella sp. (1%), Coxiella burnetii (19%), Mycobacterium avium paratuberculosis (MAP; 22%), Mycobacterium tuberculosis complex (MTC; 10%) and Rickettsia sp. (83%), and the parasites Toxoplasma gondii (36%) and Neospora caninum (86%). The most remarkable findings were the detection of antibodies against CPV and the high antibody prevalence against C. burnetii, Rickettsia sp., T. gondii and N. caninum. By PCR, we found no C. burnetii, N. caninum and Anaplasma sp. DNA in the tested samples. However, Rickettsia sp. DNA was detected in six antibody positive tested samples. These results should be taken into consideration in order to implement adequate control measures and avoid a potential dissemination of infections to other territories.Copyright © 2013 Elsevier B.V. All rights reserved."
"Protein expression and purification","Schmallenberg virus (SBV) is a novel orthobunyavirus that primarily infects ruminants such as cattle, sheep and goats. The nucleocapsid (N) protein of SBV has been shown to be an ideal target antigen for serological detection. To prepare a monoclonal antibody (mAb) against the N protein, the full-length coding sequence of the SBV N gene was cloned into pET-28a-c(+) and pMAL-c5X vectors to generate two recombinant plasmids, which were expressed in Escherichia coli BL21 as histidine (His)-tagged (His-SBV-N) and maltose-binding protein (MBP)-tagged (MBP-SBV-N) fusion proteins, respectively. After affinity purification of His-SBV-N with Ni-NTA agarose and MBP-SBV-N with amylose resin, His-SBV-N was used to immunize BALB/c mice, while MBP-SBV-N was utilized to screen for mAb-secreting hybridomas. Six hybridoma cell lines stably secreting mAbs against N were obtained. Clone 2C8 was selected for further study because of its rapid growth characteristics in vitro and good reactivity with recombinant SBV N proteins in enzyme-linked immunosorbent assays. The epitope recognized by 2C8 is located at amino acids 51-76 of the SBV N protein. Western blot analyses showed that 2C8 reacts with both recombinant SBV N proteins and SBV isolates. It is also cross-reactive with the N proteins of genetically related Shamonda, Douglas and Akabane viruses, but not with the Rift Valley fever virus N protein. The successful preparation of recombinant N proteins and mAbs provides valuable materials that can be used in the serological diagnosis of SBV.Copyright © 2013 Elsevier Inc. All rights reserved."
"Parasite (Paris, France)","Stomoxys flies are mechanical vectors of pathogens present in the blood and skin of their animal hosts, especially livestock, but occasionally humans. In livestock, their direct effects are disturbance, skin lesions, reduction of food intake, stress, blood loss, and a global immunosuppressive effect. They also induce the gathering of animals for mutual protection; meanwhile they favor development of pathogens in the hosts and their transmission. Their indirect effect is the mechanical transmission of pathogens. In case of interrupted feeding, Stomoxys can re-start their blood meal on another host. When injecting saliva prior to blood-sucking, they can inoculate some infected blood remaining on their mouthparts. Beside this immediate transmission, it was observed that Stomoxys may keep some blood in their crop, which offers a friendly environment for pathogens that could be regurgitated during the next blood meal; thus a delayed transmission by Stomoxys seems possible. Such a mechanism has a considerable epidemiological impact since it allows inter-herd transmission of pathogens. Equine infectious anemia, African swine fever, West Nile, and Rift Valley viruses are known to be transmitted by Stomoxys, while others are suspected. Rickettsia (Anaplasma, Coxiella), other bacteria and parasites (Trypanosoma spp., Besnoitia spp.) are also transmitted by Stomoxys. Finally, Stomoxys was also found to act as an intermediate host of the helminth Habronema microstoma and may be involved in the transmission of some Onchocerca and Dirofilaria species. Being cosmopolite, Stomoxys calcitrans might have a worldwide and greater impact than previously thought on animal and human pathogen transmission.© F. Baldacchino et al., published by EDP Sciences, 2013."
"Journal of virology","Rift Valley fever virus (RVFV), an ambisense member of the family Bunyaviridae, genus Phlebovirus, is the causative agent of Rift Valley fever, an important zoonotic infection in Africa and the Middle East. Phlebovirus proteins are translated from virally transcribed mRNAs that, like host mRNA, are capped but, unlike host mRNAs, are not polyadenylated. Here, we investigated the role of PABP1 during RVFV infection of HeLa cells. Immunofluorescence studies of infected cells demonstrated a gross relocalization of PABP1 to the nucleus late in infection. Immunofluorescence microscopy studies of nuclear proteins revealed costaining between PABP1 and markers of nuclear speckles. PABP1 relocalization was sharply decreased in cells infected with a strain of RVFV lacking the gene encoding the RVFV nonstructural protein S (NSs). To determine whether PABP1 was required for RVFV infection, we measured the production of nucleocapsid protein (N) in cells transfected with small interfering RNAs (siRNAs) targeting PABP1. We found that the overall percentage of RVFV N-positive cells was not changed by siRNA treatment, indicating that PABP1 was not required for RVFV infection. However, when we analyzed populations of cells producing high versus low levels of PABP1, we found that the percentage of RVFV N-positive cells was decreased in cell populations producing physiologic levels of PABP1 and increased in cells with reduced levels of PABP1. Together, these results suggest that production of the NSs protein during RVFV infection leads to sequestration of PABP1 in the nuclear speckles, creating a state within the cell that favors viral protein production."
"Journal of visualized experiments : JoVE","Many RNA viruses have evolved the ability to inhibit host cell transcription as a means to circumvent cellular defenses. For the study of these viruses, it is therefore important to have a quick and reliable way of measuring transcriptional activity in infected cells. Traditionally, transcription has been measured either by incorporation of radioactive nucleosides such as (3)H-uridine followed by detection via autoradiography or scintillation counting, or incorporation of halogenated uridine analogs such as 5-bromouridine (BrU) followed by detection via immunostaining. The use of radioactive isotopes, however, requires specialized equipment and is not feasible in a number of laboratory settings, while the detection of BrU can be cumbersome and may suffer from low sensitivity. The recently developed click chemistry, which involves a copper-catalyzed triazole formation from an azide and an alkyne, now provides a rapid and highly sensitive alternative to these two methods. Click chemistry is a two step process in which nascent RNA is first labeled by incorporation of the uridine analog 5-ethynyluridine (EU), followed by detection of the label with a fluorescent azide. These azides are available as several different fluorophores, allowing for a wide range of options for visualization. This protocol describes a method to measure transcriptional suppression in cells infected with the Rift Valley fever virus (RVFV) strain MP-12 using click chemistry. Concurrently, expression of viral proteins in these cells is determined by classical intracellular immunostaining. Steps 1 through 4 detail a method to visualize transcriptional suppression via fluorescence microscopy, while steps 5 through 8 detail a method to quantify transcriptional suppression via flow cytometry. This protocol is easily adaptable for use with other viruses."
"Vector borne and zoonotic diseases (Larchmont, N.Y.)","Abstract The Rift Valley fever virus (RVFV) encodes the structural proteins nucleoprotein (N), aminoterminal glycoprotein (Gn), carboxyterminal glycoprotein (Gc), and L protein, 78-kD, and the nonstructural proteins NSm and NSs. Using the baculovirus system, we expressed the full-length coding sequence of N, NSs, NSm, Gc, and the ectodomain of the coding sequence of the Gn glycoprotein derived from the virulent strain of RVFV ZH548. Western blot analysis using anti-His antibodies and monoclonal antibodies against Gn and N confirmed expression of the recombinant proteins, and in vitro biochemical analysis showed that the two glycoproteins, Gn and Gc, were expressed in glycosylated form. Immunoreactivity profiles of the recombinant proteins in western blot and in indirect enzyme-linked immunosorbent assay against a panel of antisera obtained from vaccinated or wild type (RVFV)-challenged sheep confirmed the results obtained with anti-His antibodies and demonstrated the suitability of the baculo-expressed antigens for diagnostic assays. In addition, these recombinant proteins could be valuable for the development of diagnostic methods that differentiate infected from vaccinated animals (DIVA)."
"Tropical biomedicine","Aedes aegypti (= Stegomyia aegypti) mosquito is a world vector of important arboviral diseases like dengue and Rift Valley fever. Despite its wide distribution in the western and southern regions of Saudi Arabia, where dengue outbreaks have occurred, its ecology is largely unknown. In this study we report on the main life table developmental attributes of a laboratory colony of Ae. aegypti reared from field-collected larvae from Madinah Province, west of Saudi Arabia. Females were maintained on daily blood meal and sugar. The female fecundity was ~62 eggs/female at an overall rate of 72% hatchability. The mean time needed for eggs to hatch into larvae was 4.5 d. The mean pupation time (P50) was 11.53 days (d). The proportion of immature survivorships were 0.69 for 1(st) larva to pupa (P/I), 0.98 for pupa to adult (A/P) and an overall 0.67 for 1(st) larva to adult (A/I). Males emerged faster than females with mean emergence time (E50) of 12.83 and 15.31 d, respectively. The average developmental velocity (V) showed that males (V= 0.081) developed faster than females (V= 0.068). The male/female sex ratio at adult emergence was 0.48, and insignificantly different from the 1:1 ratio. The adult mean life expectancy at emergence (eo) was 17.14 d for females compared to 9.59 d for males. The net reproductive rate (Ro) was 101.04 and the intrinsic rate of increase (rm) was 0.15 with a mean generation time (G) of 30.7 d. The instantaneous mean of birth (B) and death rate (D) were 0.30 and 0.15, respectively, with rm/B of 0.529 and B/D of 2.281. Compared to other Ae. aegypti strains from different geographic and ecological settings, the Saudi strain had a relatively low colonization potential. This is the first report on life table characteristics for Ae. aegypti from the Arabian Peninsula, and provides base-line information for wider studies on its natural populations. This is particularly important for understanding its population dynamics in relation to dengue transmission and control under regional conditions."
"PLoS neglected tropical diseases","In recent years, evidence of Rift Valley fever (RVF) transmission during inter-epidemic periods in parts of Africa has increasingly been reported. The inter-epidemic transmissions generally pass undetected where there is no surveillance in the livestock or human populations. We studied the presence of and the determinants for inter-epidemic RVF transmission in an area experiencing annual flooding in southern Tanzania.A cross-sectional sero-survey was conducted in randomly selected cattle, sheep and goats in the Kilombero river valley from May to August 2011, approximately four years after the 2006/07 RVF outbreak in Tanzania. The exposure status to RVF virus (RVFV) was determined using two commercial ELISA kits, detecting IgM and IgG antibodies in serum. Information about determinants was obtained through structured interviews with herd owners.An overall seroprevalence of 11.3% (n = 1680) was recorded; 5.5% in animals born after the 2006/07 RVF outbreak and 22.7% in animals present during the outbreak. There was a linear increase in prevalence in the post-epidemic annual cohorts. Nine inhibition-ELISA positive samples were also positive for RVFV IgM antibodies indicating a recent infection. The spatial distribution of seroprevalence exhibited a few hotspots. The sex difference in seroprevalence in animals born after the previous epidemic was not significant (6.1% vs. 4.6% for females and males respectively, p = 0.158) whereas it was significant in animals present during the outbreak (26.0% vs. 7.8% for females and males respectively, p<0.001). Animals living >15 km from the flood plain were more likely to have antibodies than those living <5 km (OR 1.92; 95% CI 1.04-3.56). Species, breed, herd composition, grazing practices and altitude were not associated with seropositivity.These findings indicate post-epidemic transmission of RVFV in the study area. The linear increase in seroprevalence in the post-epidemic annual cohorts implies a constant exposure and presence of active foci transmission preceding the survey."
"Journal of the American Mosquito Control Association","Aedes japonicus japonicus was introduced into the northeastern USA in 1998 and has since spread to more than 25 states. Because this species has been shown to be a competent laboratory vector of several viruses, readily feeds on large mammals, and has become a pest in several areas, there is concern that it might serve as a vector of Rift Valley fever virus (RVFV) should that virus be introduced into North America. Infection with RVFV causes mortality in > 90% of young domestic ungulates (e.g., calves, kids, and lambs), as well as causing a febrile illness and occasional deaths in humans. Therefore, we evaluated Ae. j. japonicus captured in North Carolina and in Maryland for their ability to serve as potential vectors for RVFV. After feeding on infected adult hamsters, these mosquitoes were tested for infection, dissemination, and the ability to transmit RVFV after incubation at 26 degrees C for 7-28 days. Both the Maryland and North Carolina populations of Ae. j. japonicus were highly efficient laboratory vectors of RVFV, with infection rates > 90% and dissemination rates > 84% for those mosquitoes that fed on hamsters with viremias > or = 10(8.5) plaque-forming units/ml. Thus, Ae. j. japonicus should be targeted for immediate control should RVFV be introduced into an area where this mosquito is now present."
"The American journal of tropical medicine and hygiene","Rift Valley Fever (RVF) is a significant threat to human health because it can progress to retinitis, encephalitis, and hemorrhagic fever. The timing of onset of Rift Valley Fever virus (RVFV) retinitis suggests an autoimmune origin. To determine whether RVFV retinitis is associated with increased levels of IgG against retinal tissue, we measured and compared levels of IgG against healthy human eye tissue by immunohistochemical analysis. We found that serum samples from RVFV-exposed Kenyans with retinitis (n = 8) were slightly more likely to have antibodies against retinal tissue than control populations, but the correlation was not statistically significant. Further investigation into the possible immune pathogenesis of RVFV retinitis could lead to improved therapies to prevent or treat this severe complication."
"Veterinary research","Rift Valley fever virus (RVFV) is a zoonotic vector-borne infection and causes a potentially severe disease. Many mammals are susceptible to infection including important livestock species. Although currently confined to Africa and the near-East, this disease causes concern in countries in temperate climates where both hosts and potential vectors are present, such as the Netherlands. Currently, an assessment of the probability of an outbreak occurring in this country is missing. To evaluate the transmission potential of RVFV, a mathematical model was developed and used to determine the initial growth and the Floquet ratio, which are indicators of the probability of an outbreak and of persistence in a periodic changing environment caused by seasonality. We show that several areas of the Netherlands have a high transmission potential and risk of persistence of the infection. Counter-intuitively, these are the sparsely populated livestock areas, due to the high vector-host ratios in these areas. Culex pipiens s.l. is found to be the main driver of the spread and persistence, because it is by far the most abundant mosquito. Our investigation underscores the importance to determine the vector competence of this mosquito species for RVFV and its host preference."
