Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A transversal study on antibodies against selected pathogens in dromedary camels in the Canary Islands, Spain.","/pubmed/23992795","Mentaberre G, Gutiérrez C, Rodríguez NF, Joseph S, González-Barrio D, Cabezón O, de la Fuente J, Gortazar C, Boadella M.","Vet Microbiol. 2013 Aug 9. doi:pii: S0378-1135(13)00392-1.  10.1016/j.vetmic.2013.07.029. [Epub ahead of print]","Vet Microbiol.  2013","PubMed","citation","PMID:23992795","pubmed","23992795","create date:2013/09/03 | first author:Mentaberre G",
"Expression and purification of the nucleocapsid protein of Schmallenberg virus, and preparation and characterization of a monoclonal antibody against this protein.","/pubmed/23988909","Zhang Y, Wu S, Wang J, Wernike K, Lv J, Feng C, Zhang J, Wang C, Deng J, Yuan X, Lin X.","Protein Expr Purif. 2013 Nov;92(1):1-8. doi: 10.1016/j.pep.2013.08.012. Epub 2013 Aug 26.","Protein Expr Purif.  2013","PubMed","citation","PMID:23988909","pubmed","23988909","create date:2013/08/31 | first author:Zhang Y",
"Transmission of pathogens by Stomoxys flies (Diptera, Muscidae): a review.","/pubmed/23985165","Baldacchino F, Muenworn V, Desquesnes M, Desoli F, Charoenviriyaphap T, Duvallet G.","Parasite. 2013;20:26. Epub 2013 Aug 29.","Parasite.  2013","PubMed","citation","PMID:23985165 | PMCID:PMC3756335","pubmed","23985165","create date:2013/08/30 | first author:Baldacchino F",
"Nuclear Relocalization of Polyadenylate Binding Protein during Rift Valley Fever Virus Infection Involves Expression of the NSs Gene.","/pubmed/23966414","Copeland AM, Altamura LA, Van Deusen NM, Schmaljohn CS.","J Virol. 2013 Nov;87(21):11659-69. doi: 10.1128/JVI.01434-13. Epub 2013 Aug 21.","J Virol.  2013","PubMed","citation","PMID:23966414","pubmed","23966414","create date:2013/08/24 | first author:Copeland AM",
"Using click chemistry to measure the effect of viral infection on host-cell RNA synthesis.","/pubmed/23963093","Kalveram B, Lihoradova O, Indran SV, Head JA, Ikegami T.","J Vis Exp. 2013 Aug 9;(78). doi: 10.3791/50809.","J Vis Exp.  2013","PubMed","citation","PMID:23963093","pubmed","23963093","create date:2013/08/22 | first author:Kalveram B",
"Rift valley Fever virus structural and nonstructural proteins: recombinant protein expression and immunoreactivity against antisera from sheep.","/pubmed/23962238","Faburay B, Wilson W, McVey DS, Drolet BS, Weingartl H, Madden D, Young A, Ma W, Richt JA.","Vector Borne Zoonotic Dis. 2013 Sep;13(9):619-29. doi: 10.1089/vbz.2012.1285. Epub 2013 Aug 20.","Vector Borne Zoonotic Dis.  2013","PubMed","citation","PMID:23962238 | PMCID:PMC3777644","pubmed","23962238","create date:2013/08/22 | first author:Faburay B",
"Life table characteristics of Aedes aegypti (Diptera:Culicidae) from Saudi Arabia.","/pubmed/23959496","Sowilem MM, Kamal HA, Khater EI.","Trop Biomed. 2013 Jun;30(2):301-14.","Trop Biomed.  2013","PubMed","citation","PMID:23959496","pubmed","23959496","create date:2013/08/21 | first author:Sowilem MM",
"Inter-epidemic transmission of Rift Valley fever in livestock in the Kilombero River Valley, Tanzania: a cross-sectional survey.","/pubmed/23951376","Sumaye RD, Geubbels E, Mbeyela E, Berkvens D.","PLoS Negl Trop Dis. 2013 Aug;7(8):e2356. doi: 10.1371/journal.pntd.0002356.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23951376 | PMCID:PMC3738442","pubmed","23951376","create date:2013/08/21 | first author:Sumaye RD",
"Potential for populations of Aedes j. japonicus to transmit Rift Valley fever virus in the USA.","/pubmed/23923327","Turell MJ, Byrd BD, Harrison BA.","J Am Mosq Control Assoc. 2013 Jun;29(2):133-7.","J Am Mosq Control Assoc.  2013","PubMed","citation","PMID:23923327","pubmed","23923327","create date:2013/08/08 | first author:Turell MJ",
"Potential for autoimmune pathogenesis of Rift Valley Fever virus retinitis.","/pubmed/23918215","Newman-Gerhardt S, Muiruri S, Muchiri E, Peters CJ, Morrill J, Lucas AH, King CH, Kazura J, LaBeaud AD.","Am J Trop Med Hyg. 2013 Sep;89(3):495-7. doi: 10.4269/ajtmh.12-0562. Epub 2013 Aug 5.","Am J Trop Med Hyg.  2013","PubMed","citation","PMID:23918215 | PMCID:PMC3771287","pubmed","23918215","create date:2013/08/07 | first author:Newman-Gerhardt S",
"The transmission potential of Rift Valley fever virus among livestock in the Netherlands: a modelling study.","/pubmed/23876054","Fischer EA, Boender GJ, Nodelijk G, de Koeijer AA, van Roermund HJ.","Vet Res. 2013 Jul 22;44(1):58. doi: 10.1186/1297-9716-44-58.","Vet Res.  2013","PubMed","citation","PMID:23876054 | PMCID:PMC3733972","pubmed","23876054","create date:2013/07/24 | first author:Fischer EA",
"A single immunization with MVA expressing GnGc glycoproteins promotes epitope-specific CD8+-T cell activation and protects immune-competent mice against a lethal RVFV infection.","/pubmed/23875044","López-Gil E, Lorenzo G, Hevia E, Borrego B, Eiden M, Groschup M, Gilbert SC, Brun A.","PLoS Negl Trop Dis. 2013 Jul 11;7(7):e2309. doi: 10.1371/journal.pntd.0002309. Print 2013 Jul.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23875044 | PMCID:PMC3708870","pubmed","23875044","create date:2013/07/23 | first author:López-Gil E",
"The use of NanoTrap particles as a sample enrichment method to enhance the detection of Rift Valley Fever Virus.","/pubmed/23861988","Shafagati N, Narayanan A, Baer A, Fite K, Pinkham C, Bailey C, Kashanchi F, Lepene B, Kehn-Hall K.","PLoS Negl Trop Dis. 2013 Jul 4;7(7):e2296. doi: 10.1371/journal.pntd.0002296. Print 2013 Jul.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23861988 | PMCID:PMC3701711","pubmed","23861988","create date:2013/07/19 | first author:Shafagati N",
"Development of a Rift Valley fever real-time RT-PCR assay that can detect all three genome segments.","/pubmed/23850696","Wilson WC, Romito M, Jasperson DC, Weingartl H, Binepal YS, Maluleke MR, Wallace DB, Jansen van Vuren P, Paweska JT.","J Virol Methods. 2013 Nov;193(2):426-31. doi: 10.1016/j.jviromet.2013.07.006. Epub 2013 Jul 11.","J Virol Methods.  2013","PubMed","citation","PMID:23850696","pubmed","23850696","create date:2013/07/16 | first author:Wilson WC",
"Rift Valley fever risk map model and seroprevalence in selected wild ungulates and camels from Kenya.","/pubmed/23840512","Britch SC, Binepal YS, Ruder MG, Kariithi HM, Linthicum KJ, Anyamba A, Small JL, Tucker CJ, Ateya LO, Oriko AA, Gacheru S, Wilson WC.","PLoS One. 2013 Jun 28;8(6):e66626. doi: 10.1371/journal.pone.0066626. Print 2013.","PLoS One.  2013","PubMed","citation","PMID:23840512 | PMCID:PMC3695998","pubmed","23840512","create date:2013/07/11 | first author:Britch SC",
"Re-emergence of Rift Valley fever virus in Barkedji (Senegal, West Africa) in 2002-2003: identification of new vectors and epidemiological implications.","/pubmed/23833896","Ba Y, Sall AA, Diallo D, Mondo M, Girault L, Dia I, Diallo M.","J Am Mosq Control Assoc. 2012 Sep;28(3):170-8.","J Am Mosq Control Assoc.  2012","PubMed","citation","PMID:23833896","pubmed","23833896","create date:2013/07/10 | first author:Ba Y",
"A genome-wide RNAi screen reveals that mRNA decapping restricts bunyaviral replication by limiting the pools of Dcp2-accessible targets for cap-snatching.","/pubmed/23824541","Hopkins KC, McLane LM, Maqbool T, Panda D, Gordesky-Gold B, Cherry S.","Genes Dev. 2013 Jul 1;27(13):1511-25. doi: 10.1101/gad.215384.113.","Genes Dev.  2013","PubMed","citation","PMID:23824541 | PMCID:PMC3713431","pubmed","23824541","create date:2013/07/05 | first author:Hopkins KC",
"Biology of mosquitoes that are potential vectors of Rift Valley Fever virus in different biotopes of the central highlands of Madagascar.","/pubmed/23802456","Tantely ML, Rakotoniaina JC, Tata E, Andrianaivolambo L, Razafindrasata F, Fontenille D, Elissa N.","J Med Entomol. 2013 May;50(3):603-10.","J Med Entomol.  2013","PubMed","citation","PMID:23802456","pubmed","23802456","create date:2013/06/28 | first author:Tantely ML",
"[History of human epidemic and endemic diseases in the southwest Indian Ocean].","/pubmed/23797833","Gaüzère BA, Aubry P.","Med Sante Trop. 2013 May 1;23(2):145-57. doi: 10.1684/mst.2013.0183. French. ","Med Sante Trop.  2013","PubMed","citation","PMID:23797833","pubmed","23797833","create date:2013/06/26 | first author:Gaüzère BA",
"Seroepidemiological study of west nile virus and rift valley Fever virus in some of Mammalian species (herbivores) in northern Turkey.","/pubmed/23785699","Albayrak H, Ozan E.","J Arthropod Borne Dis. 2013 Apr 10;7(1):90-3. Print 2013.","J Arthropod Borne Dis.  2013","PubMed","citation","PMID:23785699 | PMCID:PMC3684502","pubmed","23785699","create date:2013/06/21 | first author:Albayrak H",
"Aedes mosquito saliva modulates Rift Valley fever virus pathogenicity.","/pubmed/23785528","Le Coupanec A, Babin D, Fiette L, Jouvion G, Ave P, Misse D, Bouloy M, Choumet V.","PLoS Negl Trop Dis. 2013 Jun 13;7(6):e2237. doi: 10.1371/journal.pntd.0002237. Print 2013 Jun.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23785528 | PMCID:PMC3681724","pubmed","23785528","create date:2013/06/21 | first author:Le Coupanec A",
"Identification of host blood from engorged mosquitoes collected in western Uganda using cytochrome oxidase I gene sequences.","/pubmed/23778610","Crabtree MB, Kading RC, Mutebi JP, Lutwama JJ, Miller BR.","J Wildl Dis. 2013 Jul;49(3):611-26. doi: 10.7589/2012-08-213.","J Wildl Dis.  2013","PubMed","citation","PMID:23778610","pubmed","23778610","create date:2013/06/20 | first author:Crabtree MB",
"Vaccines for viral hemorrhagic fevers--progress and shortcomings.","/pubmed/23773330","Falzarano D, Feldmann H.","Curr Opin Virol. 2013 Jun;3(3):343-51. doi: 10.1016/j.coviro.2013.04.007. Epub 2013 Jun 15.","Curr Opin Virol.  2013","PubMed","citation","PMID:23773330 | PMCID:PMC3743920","pubmed","23773330","create date:2013/06/19 | first author:Falzarano D",
"[The concept of emerging viral diseases: what risk for Reunion Island?].","/pubmed/23765703","Peton M, Vilain P, Reilhes O, Cardinale E, Gaüzère BA, Filleul L.","Bull Soc Pathol Exot. 2013 Aug;106(3):170-5. doi: 10.1007/s13149-013-0294-9. Epub 2013 Jun 14. French. ","Bull Soc Pathol Exot.  2013","PubMed","citation","PMID:23765703","pubmed","23765703","create date:2013/06/15 | first author:Peton M",
"Antibodies against Rift Valley fever virus in cattle, Mozambique.","/pubmed/23764189","Lagerqvist N, Moiane B, Mapaco L, Fafetine J, Vene S, Falk KI.","Emerg Infect Dis. 2013 Jul;19(7):1177-9. doi: 10.3201/eid1907.130332. No abstract available. ","Emerg Infect Dis.  2013","PubMed","citation","PMID:23764189 | PMCID:PMC3713994","pubmed","23764189","create date:2013/06/15 | first author:Lagerqvist N",
"Ecological niche modeling and land cover risk areas for rift valley fever vector, culex tritaeniorhynchus giles in Jazan, Saudi Arabia.","/pubmed/23762424","Sallam MF, Al Ahmed AM, Abdel-Dayem MS, Abdullah MA.","PLoS One. 2013 Jun 6;8(6):e65786. doi: 10.1371/journal.pone.0065786. Print 2013.","PLoS One.  2013","PubMed","citation","PMID:23762424 | PMCID:PMC3675080","pubmed","23762424","create date:2013/06/14 | first author:Sallam MF",
"Transmission potential of Rift Valley fever virus over the course of the 2010 epidemic in South Africa.","/pubmed/23735606","Métras R, Baguelin M, Edmunds WJ, Thompson PN, Kemp A, Pfeiffer DU, Collins LM, White RG.","Emerg Infect Dis. 2013 Jun;19(6):916-24. doi: 10.3201/eid1906.121641.","Emerg Infect Dis.  2013","PubMed","citation","PMID:23735606 | PMCID:PMC3713830","pubmed","23735606","create date:2013/06/06 | first author:Métras R",
"Absence of Rift Valley fever virus in wild small mammals, Madagascar.","/pubmed/23735220","Olive MM, Razafindralambo N, Barivelo TA, Rafisandratantsoa JT, Soarimalala V, Goodman SM, Rollin PE, Heraud JM, Reynes JM.","Emerg Infect Dis. 2013 Jun;19(6):1025-7. doi: 10.3201/eid1906.121074. No abstract available. ","Emerg Infect Dis.  2013","PubMed","citation","PMID:23735220 | PMCID:PMC3713820","pubmed","23735220","create date:2013/06/06 | first author:Olive MM",
"IFITM-2 and IFITM-3 but not IFITM-1 restrict Rift Valley fever virus.","/pubmed/23720721","Mudhasani R, Tran JP, Retterer C, Radoshitzky SR, Kota KP, Altamura LA, Smith JM, Packard BZ, Kuhn JH, Costantino J, Garrison AR, Schmaljohn CS, Huang IC, Farzan M, Bavari S.","J Virol. 2013 Aug;87(15):8451-64. doi: 10.1128/JVI.03382-12. Epub 2013 May 29.","J Virol.  2013","PubMed","citation","PMID:23720721 | PMCID:PMC3719792","pubmed","23720721","create date:2013/05/31 | first author:Mudhasani R",
"Schmallenberg virus--is it present in South Africa?","/pubmed/23718876","Leask R, Botha AM, Bath GF.","J S Afr Vet Assoc. 2013 Feb 12;84(1):E1-4. doi: 10.4102/jsava.v84i1.535.","J S Afr Vet Assoc.  2013","PubMed","citation","PMID:23718876","pubmed","23718876","create date:2013/05/31 | first author:Leask R",
"Temporal and spatial history of Rift Valley fever in South Africa: 1950 to 2011.","/pubmed/23718815","Pienaar NJ, Thompson PN.","Onderstepoort J Vet Res. 2013 Mar 5;80(1):E1-E13. doi: 10.4102/ojvr.v80i1.384.","Onderstepoort J Vet Res.  2013","PubMed","citation","PMID:23718815","pubmed","23718815","create date:2013/05/31 | first author:Pienaar NJ",
"International external quality assessment of molecular detection of Rift Valley fever virus.","/pubmed/23717706","Escadafal C, Paweska JT, Grobbelaar A, le Roux C, Bouloy M, Patel P, Teichmann A, Donoso-Mantke O, Niedrig M.","PLoS Negl Trop Dis. 2013 May 23;7(5):e2244. doi: 10.1371/journal.pntd.0002244. Print 2013 May.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23717706 | PMCID:PMC3662703","pubmed","23717706","create date:2013/05/30 | first author:Escadafal C",
"Systems to establish bunyavirus genome replication in the absence of transcription.","/pubmed/23698297","Klemm C, Reguera J, Cusack S, Zielecki F, Kochs G, Weber F.","J Virol. 2013 Jul;87(14):8205-12. doi: 10.1128/JVI.00371-13. Epub 2013 May 22.","J Virol.  2013","PubMed","citation","PMID:23698297 | PMCID:PMC3700186","pubmed","23698297","create date:2013/05/24 | first author:Klemm C",
"The Rift Valley fever: could re-emerge in Egypt again?","/pubmed/23697015","El-Bahnasawy M, Megahed LA, Abdalla Saleh HA, Morsy TA.","J Egypt Soc Parasitol. 2013 Apr;43(1):41-56.","J Egypt Soc Parasitol.  2013","PubMed","citation","PMID:23697015","pubmed","23697015","create date:2013/05/24 | first author:El-Bahnasawy M",
"A real-time reverse transcription loop-mediated isothermal amplification assay for the rapid detection of yellow fever virus.","/pubmed/23692685","Kwallah Ao, Inoue S, Muigai AW, Kubo T, Sang R, Morita K, Mwau M.","J Virol Methods. 2013 Oct;193(1):23-7. doi: 10.1016/j.jviromet.2013.05.004. Epub 2013 May 18.","J Virol Methods.  2013","PubMed","citation","PMID:23692685","pubmed","23692685","create date:2013/05/23 | first author:Kwallah Ao",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Assessing the mandatory bovine abortion notification system in France using unilist capture-recapture approach.","/pubmed/23691004","Bronner A, Hénaux V, Vergne T, Vinard JL, Morignat E, Hendrikx P, Calavas D, Gay E.","PLoS One. 2013 May 14;8(5):e63246. doi: 10.1371/journal.pone.0063246. Print 2013.","PLoS One.  2013","PubMed","citation","PMID:23691004 | PMCID:PMC3653928","pubmed","23691004","create date:2013/05/22 | first author:Bronner A",
"Diagnostic approaches for rift valley Fever.","/pubmed/23689885","Wilson WC, Weingartl HM, Drolet BS, Davé K, Harpster MH, Johnson PA, Faburay B, Ruder MG, Richt JA, McVey DS.","Dev Biol (Basel). 2013;135:73-8. doi: 10.1159/000276828. Epub 2013 May 14.","Dev Biol (Basel).  2013","PubMed","citation","PMID:23689885","pubmed","23689885","create date:2013/05/22 | first author:Wilson WC",
"State of the art, progress and gaps in development of vaccines and diagnostics for high priority transboundary diseases for the NVS.","/pubmed/23689884","Dungu B, Donadeu M, Bouloy M.","Dev Biol (Basel). 2013;135:61-72. doi: 10.1159/000157178. Epub 2013 May 14.","Dev Biol (Basel).  2013","PubMed","citation","PMID:23689884","pubmed","23689884","create date:2013/05/22 | first author:Dungu B",
"Vertical transmission of rift valley fever virus without detectable maternal viremia.","/pubmed/23682700","Antonis AF, Kortekaas J, Kant J, Vloet RP, Vogel-Brink A, Stockhofe N, Moormann RJ.","Vector Borne Zoonotic Dis. 2013 Aug;13(8):601-6. doi: 10.1089/vbz.2012.1160. Epub 2013 May 19.","Vector Borne Zoonotic Dis.  2013","PubMed","citation","PMID:23682700","pubmed","23682700","create date:2013/05/21 | first author:Antonis AF",
"Rift Valley fever among children and adolescents in southwestern Saudi Arabia.","/pubmed/23668469","Al Azraqi TA, El Mekki AA, Mahfouz AA.","J Infect Public Health. 2013 Jun;6(3):230-5. doi: 10.1016/j.jiph.2012.11.011. Epub 2013 Mar 19.","J Infect Public Health.  2013","PubMed","citation","PMID:23668469","pubmed","23668469","create date:2013/05/15 | first author:Al Azraqi TA",
"A hierarchical network approach for modeling Rift Valley fever epidemics with applications in North America.","/pubmed/23667453","Xue L, Cohnstaedt LW, Scott HM, Scoglio C.","PLoS One. 2013 May 7;8(5):e62049. doi: 10.1371/journal.pone.0062049. Print 2013.","PLoS One.  2013","PubMed","citation","PMID:23667453 | PMCID:PMC3646918","pubmed","23667453","create date:2013/05/15 | first author:Xue L",
"A novel indirect ELISA based on glycoprotein Gn for the detection of IgG antibodies against Rift Valley fever virus in small ruminants.","/pubmed/23664015","Jäckel S, Eiden M, Balkema-Buschmann A, Ziller M, van Vuren PJ, Paweska JT, Groschup MH.","Res Vet Sci. 2013 Oct;95(2):725-30. doi: 10.1016/j.rvsc.2013.04.015. Epub 2013 May 9.","Res Vet Sci.  2013","PubMed","citation","PMID:23664015","pubmed","23664015","create date:2013/05/15 | first author:Jäckel S",
"Keeping an eye on Rift Valley fever.","/pubmed/23645427","[No authors listed]","Vet Rec. 2013 May 4;172(18):464. doi: 10.1136/vr.f2788. No abstract available. ","Vet Rec.  2013","PubMed","citation","PMID:23645427","pubmed","23645427","create date:2013/05/07",
"Characterization of Rift Valley fever virus MP-12 strain encoding NSs of Punta Toro virus or sandfly fever Sicilian virus.","/pubmed/23638202","Lihoradova OA, Indran SV, Kalveram B, Lokugamage N, Head JA, Gong B, Tigabu B, Juelich TL, Freiberg AN, Ikegami T.","PLoS Negl Trop Dis. 2013 Apr 18;7(4):e2181. doi: 10.1371/journal.pntd.0002181. Print 2013.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23638202 | PMCID:PMC3630143","pubmed","23638202","create date:2013/05/03 | first author:Lihoradova OA",
"A mechanistic paradigm for broad-spectrum antivirals that target virus-cell fusion.","/pubmed/23637597","Vigant F, Lee J, Hollmann A, Tanner LB, Akyol Ataman Z, Yun T, Shui G, Aguilar HC, Zhang D, Meriwether D, Roman-Sosa G, Robinson LR, Juelich TL, Buczkowski H, Chou S, Castanho MA, Wolf MC, Smith JK, Banyard A, Kielian M, Reddy S, Wenk MR, et al.","PLoS Pathog. 2013 Apr;9(4):e1003297. doi: 10.1371/journal.ppat.1003297. Epub 2013 Apr 18.","PLoS Pathog.  2013","PubMed","citation","PMID:23637597 | PMCID:PMC3630091","pubmed","23637597","create date:2013/05/03 | first author:Vigant F",
"Human cases of Sindbis fever in South Africa, 2006-2010.","/pubmed/23611492","Storm N, Weyer J, Markotter W, Kemp A, Leman PA, Dermaux-Msimang V, Nel LH, Paweska JT.","Epidemiol Infect. 2013 Apr 24:1-5. [Epub ahead of print]","Epidemiol Infect.  2013","PubMed","citation","PMID:23611492","pubmed","23611492","create date:2013/04/25 | first author:Storm N",
"Mosquito-borne disease surveillance by the European Centre for Disease Prevention and Control.","/pubmed/23607415","Zeller H, Marrama L, Sudre B, Van Bortel W, Warns-Petit E.","Clin Microbiol Infect. 2013 Aug;19(8):693-8. doi: 10.1111/1469-0691.12230. Epub 2013 Apr 22.","Clin Microbiol Infect.  2013","PubMed","citation","PMID:23607415","pubmed","23607415","create date:2013/04/24 | first author:Zeller H",
"Identification of suitable areas for the occurrence of Rift Valley fever outbreaks in Spain using a multiple criteria decision framework.","/pubmed/23602438","Sánchez-Vizcaíno F, Martínez-López B, Sánchez-Vizcaíno JM.","Vet Microbiol. 2013 Jul 26;165(1-2):71-8. doi: 10.1016/j.vetmic.2013.03.016. Epub 2013 Mar 28.","Vet Microbiol.  2013","PubMed","citation","PMID:23602438","pubmed","23602438","create date:2013/04/23 | first author:Sánchez-Vizcaíno F",
"Aerosol exposure to Rift Valley fever virus causes earlier and more severe neuropathology in the murine model, which has important implications for therapeutic development.","/pubmed/23593523","Reed C, Lin K, Wilhelmsen C, Friedrich B, Nalca A, Keeney A, Donnelly G, Shamblin J, Hensley LE, Olinger G, Smith DR.","PLoS Negl Trop Dis. 2013 Apr 4;7(4):e2156. doi: 10.1371/journal.pntd.0002156. Print 2013.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23593523 | PMCID:PMC3617210","pubmed","23593523","create date:2013/04/18 | first author:Reed C",
